Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,10u,
"C10, C9",0805,2,10 µF,
"C11, C12, C13, C19, C20, C23",0603,6,10u,
"C14, C17",0603,2,100n,
"C15, C16",0603,2,10p,
C18,0603,1,4.7n,
"C2, C3, C4, C5",0402,4,100n,
C6,0402,1,10n,
"C7, C8",0402,2,1u,
D2,SOT-23,1,NUP2105L,
"D3, D4, D5",0603,3,LED,
F2,0805,1,500ma,
"FB1, R13, R14, R15",0402,4,120R,
J1,PinHeader_1x04_P2.00mm_Vertical,1,DEBUG,
J2,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,1,APPS_1,
J3,RJ45_Ninigi_GE,1,RJ45_Shielded,
J4,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,1,APPS_2,
J5,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,1,BPPS_1,
J6,Wuerth_WR-WTB_64800311622_1x03_P1.50mm_Vertical,1,SteerSensor,
JP1,PinHeader_1x03_P2.00mm_Vertical,1,BOOT0,
JP2,PinHeader_1x03_P2.00mm_Vertical,1,BOOT1,
JP3,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,TermEnable,
L1,IND_TCK-141_TRP,1,TCK-141,
R10,0603,1,2k,
R11,0603,1,4.7k,
R12,0603,1,9.1k,
"R4, R5",0603,2,10k,
R6,0402,1,300R,
R7,0603,1,100R,
"R8, R9",0603,2,50R,
SW1,SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,1,RST,
U1,LQFP-48_7x7mm_P0.5mm,1,STM32F103C8Tx,
U2,Converter_DCDC_TRACO_TSR-1_THT,1,TSR_1-2450,
U3,SOT-223-3_TabPin2,1,LM1117MP-3.3,
U4,SOIC-8_3.9x4.9mm_P1.27mm,1,SN65HVD230,
Y1,Crystal_HC52-6mm_Vertical,1,8mHz,
