Designator,Mid X,Mid Y,Rotation,Layer
C1,136.0,-79.85,90.0,top
C10,179.9,-104.3,270.0,top
C11,147.0685,-97.58,180.0,top
C12,177.2,-105.1,270.0,top
C13,177.2,-108.2,270.0,top
C14,123.7,-84.4,0.0,top
C15,129.02,-80.108,90.0,top
C16,129.02,-83.108,90.0,top
C17,149.485,-91.9525,270.0,top
C18,166.91,-89.0525,0.0,top
C19,134.19,-97.63,180.0,top
C2,138.33,-80.1,0.0,top
C20,122.545,-97.6495,180.0,top
C21,159.07,-97.6975,180.0,top
C22,166.885,-94.8525,180.0,top
C3,143.7115,-91.519,180.0,top
C32,170.11,-91.9525,180.0,top
C4,135.4565,-83.518,270.0,top
C5,147.1,-83.3,270.0,top
C6,131.9675,-87.822,180.0,top
C7,135.4565,-87.07,90.0,top
C8,131.9675,-88.838,180.0,top
C9,172.0,-102.2,180.0,top
D2,159.91,-91.8525,0.0,top
D3,122.5325,-93.658,0.0,top
D4,122.5325,-91.408,0.0,top
D5,122.5325,-95.908,0.0,top
F2,171.9375,-100.0,0.0,top
FB1,134.025,-89.025,270.0,top
FL2,165.21,-91.94,180.0,top
J1,145.796,-107.95,180.0,top
J2,132.87,-107.86,180.0,top
J3,181.845,-87.365,90.0,top
J4,120.62,-107.9095,180.0,top
J5,157.78,-107.95,180.0,top
J7,155.09,-80.455,270.0,top
L1,177.2,-100.0,180.0,top
R1,134.19,-100.82,180.0,top
R10,147.0585,-100.92,180.0,top
R11,159.06,-102.5375,0.0,top
R12,159.07,-100.8875,0.0,top
R13,125.7925,-93.5355,0.0,top
R14,125.7925,-91.3755,0.0,top
R15,125.8125,-95.908,0.0,top
R16,159.78,-80.43,270.0,top
R17,122.555,-100.802,180.0,top
R18,147.0685,-99.28,0.0,top
R19,134.19,-99.22,0.0,top
R2,140.286,-105.355,90.0,top
R20,159.08,-99.2875,0.0,top
R21,134.19,-102.45,180.0,top
R22,147.0635,-102.52,180.0,top
R23,122.54,-99.2395,0.0,top
R24,137.76,-77.1825,0.0,top
R25,144.575,-77.18,180.0,top
R3,122.56,-102.4195,180.0,top
R32,170.11,-93.5525,180.0,top
R4,125.7,-81.6,90.0,top
R5,150.4,-80.51,270.0,top
R6,133.58,-85.546,180.0,top
R7,120.4,-84.4,0.0,top
R8,155.53,-83.45,180.0,top
R9,170.11,-90.3525,0.0,top
SW1,122.0,-87.2,180.0,top
SW2,122.0,-81.2,180.0,top
U1,141.2,-85.8,270.0,top
U2,184.8825,-104.0325,270.0,top
U3,172.0,-107.0,0.0,top
U4,118.87,-101.4595,0.0,top
U5,154.085,-91.8475,270.0,top
U6,130.5,-101.49,0.0,top
U7,143.366,-101.6,0.0,top
U8,155.34,-101.53,0.0,top
U9,141.16,-78.5,90.0,top
Y1,131.77,-81.608,270.0,top
